../maps/map1.txt
1.57,0.78,1.57,0.78,1.57,
1.63154,0.805153,1.76358,0.972165,1.71098,
1.74624,1.01968,1.70969,1.04848,1.88645,
1.6436,1.27758,1.69524,1.1944,1.8984,
1.54515,1.41035,1.94014,1.29389,1.93718,
1.5104,1.42344,2.01025,1.47136,2.18397,
1.42577,1.3834,2.05912,1.73336,2.32144,
1.37329,1.28318,2.26313,1.71425,2.53099,
1.41755,1.51817,2.41962,1.82124,2.60571,
1.64871,1.67385,2.38611,1.79754,2.74478,
1.76491,1.88611,2.55823,1.74178,2.83081,
1.76225,2.06019,2.47378,1.62102,3.04684,
1.62025,2.20886,2.62136,1.49262,3.1816,
1.52058,2.08684,2.75606,1.32874,3.35151,
1.50343,2.13836,2.72322,1.20212,3.63193,
1.3508,2.16743,2.78045,1.4243,3.77998,
1.36229,2.19606,2.98109,1.52573,3.99723,
1.19118,2.22321,3.00911,1.75397,4.12293,
1.27396,2.05505,3.19475,1.76518,4.29317,
1.35347,1.76392,3.20607,1.74438,4.37717,
1.19694,1.55669,3.19453,1.78249,4.5494,
1.41103,1.53891,3.27445,1.9257,4.70955,
1.40753,1.63567,3.50909,2.02951,4.86281,
1.23388,1.45154,3.49999,1.98213,5.04257,
1.09114,1.2702,3.37373,2.09852,5.16885,
0.926758,1.26679,3.31452,2.07287,5.42865,
0.740979,1.22996,3.46073,2.2764,5.4238,
0.842774,1.36159,3.4087,2.50767,5.54552,
0.776261,1.48417,3.31573,2.74677,5.66142,
0.709161,1.67504,3.25583,2.86059,5.4584,
0.612239,1.81389,3.34862,3.03904,5.28644,
0.532857,2.00712,3.27343,2.96009,5.07867,
0.453475,2.20036,3.19823,2.88114,4.8709,
0.392,2.35,3.14,2.82,4.71,
